date,hawkish_surprise
1988-02-04T00:00:00Z,0
1988-02-05T00:00:00Z,1
1988-02-11T00:00:00Z,1
1988-03-30T00:00:00Z,1
1988-04-04T00:00:00Z,1
1988-04-05T00:00:00Z,1
1988-04-06T00:00:00Z,0
1988-05-09T00:00:00Z,1
1988-05-10T00:00:00Z,1
1988-05-18T00:00:00Z,1
1988-05-19T00:00:00Z,1
1988-05-20T00:00:00Z,1
1988-05-25T00:00:00Z,1
1988-05-26T00:00:00Z,1
1988-06-17T00:00:00Z,1
1988-06-20T00:00:00Z,0
1988-07-01T00:00:00Z,1
1988-07-19T00:00:00Z,1
1988-07-20T00:00:00Z,1
1988-08-09T00:00:00Z,1
1988-08-09T00:00:00Z,1
1988-08-17T00:00:00Z,1
1988-09-21T00:00:00Z,0
1988-11-02T00:00:00Z,1
1988-11-07T00:00:00Z,1
1988-11-08T00:00:00Z,1
1988-12-15T00:00:00Z,1
1989-01-06T00:00:00Z,1
1989-01-09T00:00:00Z,1
1989-01-10T00:00:00Z,1
1989-02-09T00:00:00Z,0
1989-02-14T00:00:00Z,1
1989-02-23T00:00:00Z,1
1989-02-24T00:00:00Z,1
1989-02-24T00:00:00Z,0
1989-03-29T00:00:00Z,0
1989-05-17T00:00:00Z,0
1989-06-06T00:00:00Z,0
1989-07-07T00:00:00Z,0
1989-07-25T00:00:00Z,0
1989-07-26T00:00:00Z,0
1989-07-27T00:00:00Z,0
1989-08-23T00:00:00Z,0
1989-10-04T00:00:00Z,1
1989-10-16T00:00:00Z,1
1989-10-19T00:00:00Z,1
1989-11-07T00:00:00Z,0
1989-11-08T00:00:00Z,1
1989-11-09T00:00:00Z,1
1989-11-15T00:00:00Z,1
1989-12-20T00:00:00Z,0
1990-02-08T00:00:00Z,1
1990-03-28T00:00:00Z,0
1990-05-16T00:00:00Z,0
1990-07-05T00:00:00Z,1
1990-07-13T00:00:00Z,0
1990-08-22T00:00:00Z,1
1990-10-03T00:00:00Z,0
1990-10-29T00:00:00Z,1
1990-11-14T00:00:00Z,1
1990-11-15T00:00:00Z,1
1990-11-16T00:00:00Z,1
1990-12-07T00:00:00Z,0
1990-12-18T00:00:00Z,0
1990-12-19T00:00:00Z,1
1991-01-08T00:00:00Z,0
